City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
palos heights,1,US,1557011421,39,41.67,-87.8,66.99,8.05
plouzane,0,FR,1557011287,80,48.38,-4.62,48.0,3.36
coihaique,40,CL,1557007200,81,-45.58,-72.07,46.4,8.05
rikitea,73,PF,1557011423,86,-23.12,-134.97,77.96,17.31
saint-joseph,0,FR,1557011128,36,43.56,6.97,60.8,16.11
newport,0,GB,1557011225,70,51.59,-3.0,45.0,6.93
ushuaia,20,AR,1557007200,69,-54.81,-68.31,39.2,4.7
yellowknife,75,CA,1557011241,66,62.45,-114.38,33.01,2.24
kodiak,40,US,1557011318,14,39.95,-94.76,72.0,5.82
mar del plata,39,AR,1557011394,59,-46.43,-67.52,46.93,7.52
cabo san lucas,5,MX,1557011103,36,22.89,-109.91,88.0,2.24
davidson,90,US,1557011421,93,35.5,-80.85,70.0,3.36
chumikan,100,RU,1557011425,50,54.72,135.31,37.77,10.6
fortuna,0,ES,1557011418,82,38.18,-1.13,63.0,4.7
albany,1,US,1557011368,87,42.65,-73.75,66.99,3.36
gat,0,SN,1557009000,88,14.69,-16.54,68.0,12.75
galveston,1,US,1557011419,48,40.58,-86.19,63.0,5.82
korostyshiv,72,UA,1557011426,91,50.32,29.06,51.63,8.88
vaini,57,IN,1557011427,87,15.34,74.49,73.19,2.75
hermanus,100,ZA,1557010885,81,-34.42,19.24,55.0,4.0
tadine,85,NC,1557011427,74,-21.55,167.88,77.08,19.57
tuktoyaktuk,75,CA,1557007200,79,69.44,-133.03,21.2,13.87
klaksvik,66,FO,1557010200,75,62.23,-6.59,42.8,19.46
hobart,75,AU,1557011414,87,-42.88,147.33,51.8,8.05
jamestown,0,AU,1557011428,66,-33.21,138.6,56.65,3.04
punta arenas,20,CL,1557010998,84,-53.16,-70.91,35.01,6.93
bredasdorp,100,ZA,1557010885,63,-34.53,20.04,60.8,5.82
puerto ayora,40,EC,1557010867,78,-0.74,-90.35,82.4,14.99
arraial do cabo,20,BR,1557007200,78,-22.97,-42.02,78.8,9.17
qaanaaq,0,GL,1557011429,72,77.48,-69.36,25.11,5.26
new norfolk,75,AU,1557011414,87,-42.78,147.06,51.8,8.05
patu,52,BR,1557011430,74,-6.1,-37.64,75.46,8.41
ribeira grande,22,PT,1557011430,69,38.52,-28.7,60.99,19.46
butaritari,100,KI,1557011430,80,3.07,172.79,83.78,13.62
fuling,100,CN,1557011430,85,29.71,107.39,66.24,3.58
birao,63,CF,1557011430,9,10.3,22.78,87.05,4.43
iqaluit,75,CA,1557010973,86,63.75,-68.52,26.6,17.22
prince george,20,CA,1557011120,57,53.92,-122.75,55.0,3.36
upernavik,0,GL,1557011431,89,72.79,-56.15,29.22,8.9
karratha,16,AU,1557011431,18,-20.74,116.85,81.13,11.97
haverfordwest,0,GB,1557011425,67,51.8,-4.97,44.01,1.12
dikson,78,RU,1557011432,84,73.51,80.55,12.6,14.61
tuatapere,100,NZ,1557011405,96,-46.13,167.69,53.01,7.16
manutuke,0,NZ,1557011404,55,-38.68,177.91,70.0,3.0
vardo,90,US,1557011421,93,39.62,-77.74,75.2,13.87
busselton,97,AU,1557011378,78,-33.64,115.35,59.0,23.49
bluff,0,AU,1557011433,36,-23.58,149.07,68.4,15.7
mataura,100,NZ,1557011405,96,-46.19,168.86,53.01,2.06
sao gabriel da cachoeira,100,BR,1557011433,99,-0.13,-67.09,75.15,1.59
isangel,20,VU,1557007200,65,-19.55,169.27,80.6,9.17
mayo,90,CA,1557007200,22,63.59,-135.9,44.6,5.82
avallon,9,FR,1557010916,95,47.49,3.91,35.01,8.52
porto novo,20,BR,1557010800,78,-23.68,-45.44,73.4,1.12
punalur,20,IN,1557009000,88,9.02,76.93,82.4,6.93
barrow,100,AR,1557011435,90,-38.31,-60.23,60.3,6.04
walvis bay,0,NA,1557007200,82,-22.95,14.51,55.4,3.36
yining,48,CN,1557011435,64,29.04,114.56,71.41,2.26
